municipality,year,treat,newcomers,rents,popu,year_2013,year_2016,year_2018
setagaya,2019,1,,,548,,,
setagaya,2020,1,,,539,,,
setagaya,2021,1,,,633,,,
shibuya,2016,1,19564.0,1054000.0,705,,,
shibuya,2017,1,19679.0,,799,,,
shibuya,2018,1,19255.0,1142100.0,884,,,
shibuya,2019,1,,,943,,,
shibuya,2020,1,,,829,,,
shibuya,2021,1,,,854,,,
shinagawa,2016,1,27386.0,661000.0,837,,,
shinagawa,2017,1,28197.0,,921,,,
shinagawa,2018,1,30021.0,758900.0,940,,,
shinagawa,2019,1,,,1006,,,
shinagawa,2020,1,,,604,,,
shinagawa,2021,1,,,392,,,
shinjuku,2016,1,27701.0,661100.0,745,,,
shinjuku,2017,1,28394.0,,1043,,,
shinjuku,2018,1,29035.0,709300.0,946,,,
shinjuku,2019,1,,,1037,,,
shinjuku,2020,1,,,936,,,
shinjuku,2021,1,,,865,,,
soka,2016,0,9747.0,129400.0,178,,,
soka,2017,0,10022.0,,0,,,
soka,2018,0,10097.0,132600.0,74,,,
soka,2019,0,,,0,,,
soka,2020,0,,,0,,,
soka,2021,0,,,0,,,
suginami,2016,0,39414.0,467600.0,560,,,
suginami,2017,0,39625.0,,588,,,
suginami,2018,0,39097.0,500000.0,568,,,
suginami,2019,0,,,634,,,
suginami,2020,0,,,431,,,
suginami,2021,0,,,459,,,
sumida,2016,1,17983.0,368300.0,700,,,
sumida,2017,1,19083.0,,757,,,
sumida,2018,1,18787.0,393500.0,698,,,
sumida,2019,1,,,938,,,
sumida,2020,1,,,655,,,
sumida,2021,1,,,657,,,
taito,2016,0,14224.0,740000.0,53,,,
taito,2017,0,14884.0,,39,,,
taito,2018,0,15728.0,806300.0,85,,,
taito,2019,0,,,653,,,
taito,2020,0,,,384,,,
taito,2021,0,,,224,,,
toda,2016,0,7790.0,217300.0,0,,,
toda,2017,0,7387.0,,0,,,
toda,2018,0,7231.0,223800.0,203,,,
toda,2019,0,,,170,,,
toda,2020,0,,,161,,,
toda,2021,0,,,123,,,
toshima,2016,0,21776.0,499200.0,32,,,
toshima,2017,0,21837.0,,57,,,
toshima,2018,0,21903.0,548000.0,25,,,
toshima,2019,0,,,617,,,
toshima,2020,0,,,284,,,
toshima,2021,0,,,75,,,
urayasu,2016,0,9947.0,261600.0,699,,,
urayasu,2017,0,9582.0,,785,,,
urayasu,2018,0,9973.0,,785,,,
urayasu,2019,0,,,904,,,
urayasu,2020,0,,,571,,,
urayasu,2021,0,,,446,,,
wako,2016,0,6595.0,229800.0,833,,,
wako,2017,0,6539.0,,838,,,
wako,2018,0,6876.0,239200.0,803,,,
wako,2019,0,,,798,,,
wako,2020,0,,,454,,,
wako,2021,0,,,736,,,
yashio,2016,0,4307.0,119300.0,87,,,
yashio,2017,0,4982.0,,0,,,
yashio,2018,0,5452.0,124600.0,0,,,
yashio,2019,0,,,80,,,
yashio,2020,0,,,0,,,
yashio,2021,0,,,0,,,
yokohama,2016,1,178977.0,,339,,,
yokohama,2017,1,177695.0,,374,,,
yokohama,2018,1,183286.0,,370,,,
yokohama,2019,1,,,470,,,
yokohama,2020,1,,,301,,,
yokohama,2021,1,,,347,,,
