municipality,year,treat,newcomers,rents,popu
mitaka,2008,0,11515.0,402000.0,68
mitaka,2009,0,12502.0,364800.0,0
mitaka,2010,0,11197.0,351800.0,0
mitaka,2011,0,11430.0,349000.0,44
mitaka,2012,0,11836.0,349200.0,0
mitaka,2013,0,11557.0,349900.0,100
mitaka,2016,0,12483.0,373500.0,0
mitaka,2018,0,11033.0,394100.0,109
musashino,2008,0,9645.0,536000.0,0
musashino,2009,0,10400.0,482300.0,100
musashino,2010,0,10510.0,451600.0,99
musashino,2011,0,9794.0,455700.0,0
musashino,2012,0,10750.0,455300.0,0
musashino,2013,0,11100.0,455400.0,0
musashino,2016,0,9874.0,499500.0,42
musashino,2018,0,10345.0,532600.0,333
nakano,2008,0,24864.0,552600.0,167
nakano,2009,0,25637.0,507600.0,50
nakano,2010,0,25769.0,466300.0,100
nakano,2011,0,26372.0,468400.0,0
nakano,2012,0,27323.0,465000.0,0
nakano,2013,0,27222.0,463300.0,0
nakano,2016,0,26519.0,497500.0,297
nakano,2018,0,26432.0,544400.0,340
narashino,2008,0,9051.0,155800.0,76
narashino,2009,0,8878.0,147400.0,0
narashino,2010,0,9196.0,139900.0,0
narashino,2011,0,8591.0,139800.0,0
narashino,2012,0,7900.0,137500.0,0
narashino,2013,0,9579.0,135800.0,0
narashino,2016,0,9998.0,145900.0,62
narashino,2018,0,8337.0,150600.0,50
nerima,2008,1,40575.0,391700.0,505
nerima,2009,1,41213.0,355400.0,554
nerima,2010,1,39565.0,337600.0,602
nerima,2011,1,39856.0,336600.0,575
nerima,2012,1,40014.0,334800.0,552
nerima,2013,1,39207.0,335400.0,667
nerima,2016,1,40088.0,351800.0,1050
nerima,2018,1,40939.0,369400.0,908
ota,2008,0,39092.0,528600.0,448
ota,2009,0,38874.0,484100.0,670
ota,2010,0,37039.0,451800.0,530
ota,2011,0,37809.0,449100.0,566
ota,2012,0,39132.0,444600.0,497
ota,2013,0,40770.0,444700.0,674
ota,2016,0,41320.0,478000.0,583
ota,2018,0,43444.0,501700.0,607
setagaya,2008,1,55695.0,627900.0,707
setagaya,2009,1,56252.0,560600.0,778
setagaya,2010,1,57278.0,520000.0,619
setagaya,2011,1,57707.0,516000.0,552
setagaya,2012,1,57794.0,510100.0,446
setagaya,2013,1,58826.0,512300.0,440
setagaya,2016,1,57908.0,544100.0,551
setagaya,2018,1,57683.0,589300.0,560
shibuya,2008,1,18507.0,1191300.0,469
shibuya,2009,1,19661.0,1042300.0,472
shibuya,2010,1,19652.0,949000.0,457
shibuya,2011,1,20709.0,980600.0,421
shibuya,2012,1,20881.0,964200.0,374
shibuya,2013,1,21329.0,961900.0,433
shibuya,2016,1,19564.0,1054000.0,705
shibuya,2018,1,19255.0,1142100.0,884
shinagawa,2008,1,25783.0,732100.0,822
shinagawa,2009,1,26844.0,657400.0,736
shinagawa,2010,1,26717.0,601300.0,735
shinagawa,2011,1,26185.0,595800.0,574
shinagawa,2012,1,26951.0,595300.0,532
shinagawa,2013,1,26849.0,590500.0,588
shinagawa,2016,1,27386.0,661000.0,837
shinagawa,2018,1,30021.0,758900.0,940
shinjuku,2008,1,27788.0,718000.0,362
shinjuku,2009,1,27827.0,654500.0,545
shinjuku,2010,1,28256.0,601800.0,433
shinjuku,2011,1,28056.0,602700.0,345
shinjuku,2012,1,29217.0,604600.0,298
shinjuku,2013,1,29214.0,601600.0,404
shinjuku,2016,1,27701.0,661100.0,745
shinjuku,2018,1,29035.0,709300.0,946
soka,2008,0,11150.0,147600.0,200
soka,2009,0,10597.0,143200.0,0
soka,2010,0,10425.0,137300.0,0
soka,2011,0,10680.0,134100.0,186
soka,2012,0,9669.0,131200.0,96
soka,2013,0,9598.0,128300.0,100
soka,2016,0,9747.0,129400.0,178
soka,2018,0,10097.0,132600.0,74
suginami,2008,0,39785.0,518600.0,532
suginami,2009,0,39192.0,468800.0,751
suginami,2010,0,38649.0,432800.0,664
suginami,2011,0,38642.0,432800.0,658
suginami,2012,0,39496.0,429100.0,524
suginami,2013,0,40017.0,434600.0,145
suginami,2016,0,39414.0,467600.0,560
suginami,2018,0,39097.0,500000.0,568
sumida,2008,1,15014.0,336000.0,629
sumida,2009,1,16086.0,321500.0,558
sumida,2010,1,15722.0,301000.0,675
sumida,2011,1,14870.0,297000.0,641
sumida,2012,1,16598.0,291500.0,611
sumida,2013,1,17169.0,341100.0,661
sumida,2016,1,17983.0,368300.0,700
sumida,2018,1,18787.0,393500.0,698
taito,2008,0,12456.0,702000.0,0
taito,2009,0,12981.0,648000.0,202
taito,2010,0,13305.0,591100.0,111
taito,2011,0,13235.0,597000.0,55
taito,2012,0,14758.0,587300.0,50
taito,2013,0,14051.0,687700.0,26
taito,2016,0,14224.0,740000.0,53
taito,2018,0,15728.0,806300.0,85
toda,2008,0,7984.0,229000.0,100
toda,2009,0,7725.0,222300.0,43
toda,2010,0,8612.0,210400.0,0
toda,2011,0,8296.0,208800.0,0
toda,2012,0,8519.0,206500.0,24
toda,2013,0,8017.0,208400.0,189
toda,2016,0,7790.0,217300.0,0
toda,2018,0,7231.0,223800.0,203
toshima,2008,0,21057.0,539900.0,0
toshima,2009,0,21724.0,501300.0,0
toshima,2010,0,22089.0,466000.0,0
toshima,2011,0,23425.0,459400.0,0
toshima,2012,0,22670.0,458400.0,64
toshima,2013,0,22723.0,457400.0,63
toshima,2016,0,21776.0,499200.0,32
toshima,2018,0,21903.0,548000.0,25
urayasu,2008,0,12333.0,344700.0,323
urayasu,2009,0,10859.0,320300.0,325
urayasu,2010,0,10236.0,287700.0,296
urayasu,2011,0,9090.0,288600.0,379
urayasu,2012,0,8410.0,265800.0,259
urayasu,2013,0,9293.0,258900.0,465
urayasu,2016,0,9947.0,261600.0,699
wako,2008,0,6958.0,239000.0,100
wako,2009,0,6970.0,231000.0,79
wako,2010,0,6350.0,220900.0,0
wako,2011,0,6499.0,219500.0,87
wako,2012,0,6346.0,216300.0,62
wako,2013,0,6568.0,218000.0,896
wako,2016,0,6595.0,229800.0,833
wako,2018,0,6876.0,239200.0,803
yashio,2008,0,4253.0,144900.0,0
yashio,2009,0,3871.0,139200.0,0
yashio,2010,0,3409.0,132900.0,0
yashio,2011,0,3865.0,127900.0,100
yashio,2012,0,3878.0,123700.0,81
yashio,2013,0,3810.0,120800.0,0
yashio,2016,0,4307.0,119300.0,87
yashio,2018,0,5452.0,124600.0,0
