municipality,year,treat,newcomers,rents,popu,rents_per_capita
setagaya,2013,1,58826,512300,440,1164.3182
setagaya,2016,1,57908,544100,551,987.47729
setagaya,2018,1,57683,589300,560,1052.3214
shibuya,2010,1,19652,949000,457,2076.5864
shibuya,2011,1,20709,980600,421,2329.2161
shibuya,2012,1,20881,964200,374,2578.075
shibuya,2013,1,21329,961900,433,2221.478
shibuya,2016,1,19564,1054000,705,1495.0354
shibuya,2018,1,19255,1142100,884,1291.9684
shinagawa,2010,1,26717,601300,735,818.09521
shinagawa,2011,1,26185,595800,574,1037.9791
shinagawa,2012,1,26951,595300,532,1118.985
shinagawa,2013,1,26849,590500,588,1004.2517
shinagawa,2016,1,27386,661000,837,789.72522
shinagawa,2018,1,30021,758900,940,807.34045
shinjuku,2010,1,28256,601800,433,1389.8384
shinjuku,2011,1,28056,602700,345,1746.9565
shinjuku,2012,1,29217,604600,298,2028.859
shinjuku,2013,1,29214,601600,404,1489.1089
shinjuku,2016,1,27701,661100,745,887.38257
shinjuku,2018,1,29035,709300,946,749.78857
soka,2010,0,10425,137300,,
soka,2011,0,10680,134100,186,720.96771
soka,2012,0,9669,131200,96,1366.6666
soka,2013,0,9598,128300,100,1283
soka,2016,0,9747,129400,178,726.96631
soka,2018,0,10097,132600,74,1791.8918
suginami,2010,0,38649,432800,664,651.80725
suginami,2011,0,38642,432800,658,657.75073
suginami,2012,0,39496,429100,524,818.89313
suginami,2013,0,40017,434600,145,2997.2415
suginami,2016,0,39414,467600,560,835
suginami,2018,0,39097,500000,568,880.28168
sumida,2010,1,15722,301000,675,445.92593
sumida,2011,1,14870,297000,641,463.33853
sumida,2012,1,16598,291500,611,477.08673
sumida,2013,1,17169,341100,661,516.03632
sumida,2016,1,17983,368300,700,526.14288
sumida,2018,1,18787,393500,698,563.7536
taito,2010,0,13305,591100,111,5325.2251
taito,2011,0,13235,597000,55,10854.546
taito,2012,0,14758,587300,50,11746
taito,2013,0,14051,687700,26,26450
taito,2016,0,14224,740000,53,13962.264
taito,2018,0,15728,806300,85,9485.8828
toda,2010,0,8612,210400,,
toda,2011,0,8296,208800,,
toda,2012,0,8519,206500,24,8604.167
toda,2013,0,8017,208400,189,1102.6455
toda,2016,0,7790,217300,,
toda,2018,0,7231,223800,203,1102.463
toshima,2010,0,22089,466000,,
toshima,2011,0,23425,459400,,
toshima,2012,0,22670,458400,64,7162.5
toshima,2013,0,22723,457400,63,7260.3174
toshima,2016,0,21776,499200,32,15600
toshima,2018,0,21903,548000,25,21920
urayasu,2010,0,10236,287700,296,971.95947
urayasu,2011,0,9090,288600,379,761.4776
urayasu,2012,0,8410,265800,259,1026.2549
urayasu,2013,0,9293,258900,465,556.77417
urayasu,2016,0,9947,261600,699,374.24893
wako,2010,0,6350,220900,,
wako,2011,0,6499,219500,87,2522.9885
wako,2012,0,6346,216300,62,3488.7097
wako,2013,0,6568,218000,896,243.30357
wako,2016,0,6595,229800,833,275.87036
wako,2018,0,6876,239200,803,297.88293
yashio,2010,0,3409,132900,,
yashio,2011,0,3865,127900,100,1279
yashio,2012,0,3878,123700,81,1527.1605
yashio,2013,0,3810,120800,,
yashio,2016,0,4307,119300,87,1371.2644
yashio,2018,0,5452,124600,,
